"Month","Passengers","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","t","t_square","Log_Passengers"
1995-01-01,112,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4.71849887129509
1995-02-01,118,0,1,0,0,0,0,0,0,0,0,0,0,2,4,4.77068462446567
1995-03-01,132,0,0,1,0,0,0,0,0,0,0,0,0,3,9,4.88280192258637
1995-04-01,129,0,0,0,1,0,0,0,0,0,0,0,0,4,16,4.85981240436167
1995-05-01,121,0,0,0,0,1,0,0,0,0,0,0,0,5,25,4.79579054559674
1995-06-01,135,0,0,0,0,0,1,0,0,0,0,0,0,6,36,4.90527477843843
1995-07-01,148,0,0,0,0,0,0,1,0,0,0,0,0,7,49,4.99721227376411
1995-08-01,148,0,0,0,0,0,0,0,1,0,0,0,0,8,64,4.99721227376411
1995-09-01,136,0,0,0,0,0,0,0,0,1,0,0,0,9,81,4.91265488573605
1995-10-01,119,0,0,0,0,0,0,0,0,0,1,0,0,10,100,4.77912349311153
1995-11-01,104,0,0,0,0,0,0,0,0,0,0,1,0,11,121,4.64439089914137
1995-12-01,118,0,0,0,0,0,0,0,0,0,0,0,1,12,144,4.77068462446567
1996-01-01,115,1,0,0,0,0,0,0,0,0,0,0,0,13,169,4.74493212836325
1996-02-01,126,0,1,0,0,0,0,0,0,0,0,0,0,14,196,4.83628190695148
1996-03-01,141,0,0,1,0,0,0,0,0,0,0,0,0,15,225,4.94875989037817
1996-04-01,135,0,0,0,1,0,0,0,0,0,0,0,0,16,256,4.90527477843843
1996-05-01,125,0,0,0,0,1,0,0,0,0,0,0,0,17,289,4.8283137373023
1996-06-01,149,0,0,0,0,0,1,0,0,0,0,0,0,18,324,5.00394630594546
1996-07-01,170,0,0,0,0,0,0,1,0,0,0,0,0,19,361,5.13579843705026
1996-08-01,170,0,0,0,0,0,0,0,1,0,0,0,0,20,400,5.13579843705026
1996-09-01,158,0,0,0,0,0,0,0,0,1,0,0,0,21,441,5.06259503302697
1996-10-01,133,0,0,0,0,0,0,0,0,0,1,0,0,22,484,4.89034912822175
1996-11-01,114,0,0,0,0,0,0,0,0,0,0,1,0,23,529,4.7361984483945
1996-12-01,140,0,0,0,0,0,0,0,0,0,0,0,1,24,576,4.9416424226093
1997-01-01,145,1,0,0,0,0,0,0,0,0,0,0,0,25,625,4.97673374242057
1997-02-01,150,0,1,0,0,0,0,0,0,0,0,0,0,26,676,5.01063529409626
1997-03-01,178,0,0,1,0,0,0,0,0,0,0,0,0,27,729,5.18178355029209
1997-04-01,163,0,0,0,1,0,0,0,0,0,0,0,0,28,784,5.09375020080676
1997-05-01,172,0,0,0,0,1,0,0,0,0,0,0,0,29,841,5.14749447681345
1997-06-01,178,0,0,0,0,0,1,0,0,0,0,0,0,30,900,5.18178355029209
1997-07-01,199,0,0,0,0,0,0,1,0,0,0,0,0,31,961,5.29330482472449
1997-08-01,199,0,0,0,0,0,0,0,1,0,0,0,0,32,1024,5.29330482472449
1997-09-01,184,0,0,0,0,0,0,0,0,1,0,0,0,33,1089,5.21493575760899
1997-10-01,162,0,0,0,0,0,0,0,0,0,1,0,0,34,1156,5.08759633523238
1997-11-01,146,0,0,0,0,0,0,0,0,0,0,1,0,35,1225,4.98360662170834
1997-12-01,166,0,0,0,0,0,0,0,0,0,0,0,1,36,1296,5.11198778835654
1998-01-01,171,1,0,0,0,0,0,0,0,0,0,0,0,37,1369,5.14166355650266
1998-02-01,180,0,1,0,0,0,0,0,0,0,0,0,0,38,1444,5.19295685089021
1998-03-01,193,0,0,1,0,0,0,0,0,0,0,0,0,39,1521,5.26269018890489
1998-04-01,181,0,0,0,1,0,0,0,0,0,0,0,0,40,1600,5.19849703126583
1998-05-01,183,0,0,0,0,1,0,0,0,0,0,0,0,41,1681,5.20948615284142
1998-06-01,218,0,0,0,0,0,1,0,0,0,0,0,0,42,1764,5.38449506278909
1998-07-01,230,0,0,0,0,0,0,1,0,0,0,0,0,43,1849,5.4380793089232
1998-08-01,242,0,0,0,0,0,0,0,1,0,0,0,0,44,1936,5.48893772615669
1998-09-01,209,0,0,0,0,0,0,0,0,1,0,0,0,45,2025,5.34233425196481
1998-10-01,191,0,0,0,0,0,0,0,0,0,1,0,0,46,2116,5.25227342804663
1998-11-01,172,0,0,0,0,0,0,0,0,0,0,1,0,47,2209,5.14749447681345
1998-12-01,194,0,0,0,0,0,0,0,0,0,0,0,1,48,2304,5.26785815906333
1999-01-01,196,1,0,0,0,0,0,0,0,0,0,0,0,49,2401,5.27811465923052
1999-02-01,196,0,1,0,0,0,0,0,0,0,0,0,0,50,2500,5.27811465923052
1999-03-01,236,0,0,1,0,0,0,0,0,0,0,0,0,51,2601,5.46383180502561
1999-04-01,235,0,0,0,1,0,0,0,0,0,0,0,0,52,2704,5.45958551414416
1999-05-01,229,0,0,0,0,1,0,0,0,0,0,0,0,53,2809,5.43372200355424
1999-06-01,243,0,0,0,0,0,1,0,0,0,0,0,0,54,2916,5.49306144334055
1999-07-01,264,0,0,0,0,0,0,1,0,0,0,0,0,55,3025,5.57594910314632
1999-08-01,272,0,0,0,0,0,0,0,1,0,0,0,0,56,3136,5.605802066296
1999-09-01,237,0,0,0,0,0,0,0,0,1,0,0,0,57,3249,5.46806014113513
1999-10-01,211,0,0,0,0,0,0,0,0,0,1,0,0,58,3364,5.35185813347607
1999-11-01,180,0,0,0,0,0,0,0,0,0,0,1,0,59,3481,5.19295685089021
1999-12-01,201,0,0,0,0,0,0,0,0,0,0,0,1,60,3600,5.30330490805908
2000-01-01,204,1,0,0,0,0,0,0,0,0,0,0,0,61,3721,5.31811999384422
2000-02-01,188,0,1,0,0,0,0,0,0,0,0,0,0,62,3844,5.23644196282995
2000-03-01,235,0,0,1,0,0,0,0,0,0,0,0,0,63,3969,5.45958551414416
2000-04-01,227,0,0,0,1,0,0,0,0,0,0,0,0,64,4096,5.4249500174814
2000-05-01,234,0,0,0,0,1,0,0,0,0,0,0,0,65,4225,5.4553211153577
2000-06-01,264,0,0,0,0,0,1,0,0,0,0,0,0,66,4356,5.57594910314632
2000-07-01,302,0,0,0,0,0,0,1,0,0,0,0,0,67,4489,5.71042701737487
2000-08-01,293,0,0,0,0,0,0,0,1,0,0,0,0,68,4624,5.68017260901707
2000-09-01,259,0,0,0,0,0,0,0,0,1,0,0,0,69,4761,5.55682806169954
